code,start_stamp
CHRS,995256000.0
CHRW,876974400.0
CHSCL,1421298000.0
CHSCM,1410321600.0
CHSCN,1394082000.0
CHSCO,1379908800.0
CHSCP,1048482000.0
CHTR,1262667600.0
CHUY,1343102400.0
CHW,1185422400.0
CHY,1054180800.0
CIDM,1068440400.0
CINF,322117200.0
CJJD,1511758800.0
CKEC,-441831600.0
CLCT,941778000.0
CLDX,516513600.0
CLFD,523684800.0
CLIR,1335326400.0
CLMT,1512018000.0
CLNE,1180065600.0
CLNT,1103605200.0
CLRB,1131598800.0
CLRO,808718400.0
CLSN,920264400.0
CLUB,1149220800.0
CLVS,1321419600.0
CLWT,858315600.0
CMCO,825051600.0
CMCSA,322117200.0
CMCT,1512709200.0
CME,1039150800.0
CMFN,1391662800.0
CMLS,1018324800.0
CMPR,1128052800.0
CMRX,1365652800.0
CMTL,322117200.0
CNAT,1374724800.0
CNBKA,548481600.0
CNCE,1392267600.0
CNMD,554011200.0
CNOB,765432000.0
CNSL,1122004800.0
CNTF,1115352000.0
CNTY,752907600.0
CNXR,1418360400.0
COBZ,898142400.0
COHR,322117200.0
COHU,322117200.0
COKE,322117200.0
COLB,708667200.0
COLM,890974800.0
COMM,1382673600.0
COMT,1413432000.0
CONE,1358485200.0
CONN,1069736400.0
COOL,934862400.0
CORE,1113364800.0
CORI,1396497600.0
CORT,1081915200.0
COST,521265600.0
COWN,1152763200.0
CPAH,1081310400.0
CPHC,1220846400.0
CPIX,1249963200.0
CPRT,763880400.0
CPRX,1162962000.0
CPSH,863150400.0
CPSI,1021953600.0
CPSS,719726400.0
CPST,962337600.0
CPTA,1380081600.0
CRAI,893390400.0
CRAY,812088000.0
CREE,729234000.0
CREG,1078462800.0
CRESY,858747600.0
CRIS,965102400.0
CRME,1058241600.0
CRMT,542610000.0
CRNT,965361600.0
CROX,1139374800.0
CRTN,943333200.0
CRTO,1383105600.0
CRUS,613368000.0
CRVL,678081600.0
CRWS,1065499200.0
CRZO,870840000.0
CSBK,1078376400.0
CSFL,980830800.0
CSGP,899265600.0
CSGS,825483600.0
CSII,1151467200.0
CSIQ,1163048400.0
CSOD,1300334400.0
CSPI,381128400.0
CSQ,1080795600.0
CSTE,1332388800.0
CSWC,322117200.0
CTAS,430113600.0
CTBI,567752400.0
CTG,322808400.0
CTHR,879483600.0
CTIB,1054180800.0
CTIC,858920400.0
CTRE,1401336000.0
CTRL,1375416000.0
CTRN,1116388800.0
CTRP,1070946000.0
CTSH,898228800.0
CTSO,1155096000.0
CTWS,322117200.0
CTXS,818398800.0
CU,946875600.0
CUNB,1131598800.0
CUTR,1080709200.0
CVBF,418280400.0
CVCO,1057032000.0
CVCY,920869200.0
CVGI,1092024000.0
CVGW,1027310400.0
CVLT,1158897600.0
CVLY,765518400.0
CVTI,783316800.0
CVV,920264400.0
CWAY,1389762000.0
CWBC,848379600.0
CWCO,791010000.0
CWST,878101200.0
CXDC,1191470400.0
CY,517723200.0
CYAN,740721600.0
CYBE,566715600.0
CYBR,-441831600.0
CYCC,1079413200.0
CYCCP,1133326800.0
CYOU,1238644800.0
CYRN,931838400.0
CYTK,1083297600.0
CYTR,607150800.0
CYTX,974350800.0
CZR,1328677200.0
CZWI,1511758800.0
DAIO,638427600.0
DAKT,760856400.0
DAVE,847083600.0
DAX,1414036800.0
DBVT,1413950400.0
DCOM,835761600.0
DCTH,1020312000.0
DENN,884235600.0
DEPO,881125200.0
DERM,1412308800.0
DEST,732258000.0
DFRG,1343361600.0
DFVL,1310443200.0
DFVS,1310443200.0
DGICA,1057204800.0
DGICB,530946000.0
DGII,623649600.0
DGLD,1318824000.0
DGLY,1179288000.0
DGRE,1375329600.0
DGRS,1374724800.0
DGRW,1369195200.0
DHIL,834033600.0
DIOD,322117200.0
DISCA,1120795200.0
DISCB,1131598800.0
DISCK,1221710400.0
DISH,803707200.0
DJCO,698994000.0
DLHC,1512363600.0
DLTR,794552400.0
DMLP,1044248400.0
DMRC,944110800.0
DNBF,916117200.0
DNKN,1311739200.0
DORM,668754000.0
DOX,898228800.0
DRAD,1086840000.0
DRNA,1391058000.0
DRRX,970113600.0
DRYS,1107406800.0
DSGX,917413200.0
DSKX,1274328000.0
DSLV,1318824000.0
DSPG,761202000.0
DSWL,806126400.0
DTUL,1281412800.0
DTUS,1281412800.0
DTV,1476331200.0
DTYL,1281412800.0
DTYS,1281412800.0
DVAX,1077166800.0
DVCR,942728400.0
DWAT,1412136000.0
DWCH,707112000.0
DXGE,1381982400.0
DXJS,1372392000.0
DXLG,549604800.0
DXPE,894513600.0
DXPS,1372392000.0
DXYN,533278800.0
DYNT,767246400.0
DYSL,956116800.0
EA,622267200.0
EARS,1407297600.0
EBAY,906609600.0
EBIO,1391662800.0
EBIX,552110400.0
EBMT,954993600.0
EBSB,1201064400.0
EBTC,1108357200.0
ECHO,1254456000.0
ECOL,452923200.0
ECPG,931492800.0
ECTE,879224400.0
ECYT,1296795600.0
EDAP,870408000.0
EDGW,843796800.0
EDUC,322203600.0
EEFT,857710800.0
EEI,542264400.0
EEMA,1328763600.0
EEME,1326949200.0
EFOI,777182400.0
EFSC,1058241600.0
EGAN,938059200.0
EGBN,931924800.0
EGHT,867816000.0
EGLE,1119931200.0
EGLT,1391662800.0
EGOV,932011200.0
EGRW,1328763600.0
EGRX,1392181200.0
EHTH,1161316800.0
EIGI,1382673600.0
ELGX,835243200.0
ELNK,-441831600.0
ELON,901598400.0
ELSE,639028800.0
ELTK,853909200.0
EMCB,1331182800.0
EMCF,1512363600.0
EMCG,1380254400.0
EMCI,381646800.0
EMDI,1329454800.0
EMEY,1328850000.0
EMIF,1245384000.0
EMITF,849070800.0
EMKR,857624400.0
EML,322117200.0
EMMS,761979600.0
ENDP,963892800.0
ENFC,1412136000.0
ENG,863150400.0
ENPH,1333080000.0
ENSG,1194584400.0
ENT,1308283200.0
ENTR,1508990400.0
ENVI,-441831600.0
ENZN,445669200.0
EOPN,-441831600.0
EPAY,918795600.0
EPIQ,-441831600.0
EPZM,1369972800.0
EQIX,965966400.0
ERI,946875600.0
ERIC,367473600.0
ERIE,812606400.0
ERII,1214971200.0
ERW,1375243200.0
ESBK,1512709200.0
ESCA,322117200.0
ESEA,1146801600.0
ESGR,859870800.0
ESIO,435297600.0
ESLT,849070800.0
ESMC,716184000.0
ESPR,1372219200.0
ESRX,708062400.0
ESSA,1175659200.0
ESXB,1157515200.0
EUFN,1265173200.0
EVAL,1328850000.0
EVAR,1398398400.0
EVEP,1159329600.0
EVK,1216180800.0
EVLV,678513600.0
EVOK,1380081600.0
EVOL,894945600.0
EVRY,-441831600.0
EWBC,918018000.0
EXA,1340856000.0
EXAC,833428800.0
EXAS,981003600.0
EXEL,955944000.0
EXFO,962337600.0
EXLS,1161316800.0
EXPD,465019200.0
EXPE,1121918400.0
EXPO,650865600.0
EXTR,923630400.0
EXXI,1483938000.0
EYEG,1423803600.0
EYES,1416373200.0
EZPW,683265600.0
FALC,1513054800.0
FANG,1350014400.0
FARM,322117200.0
FARO,874555200.0
FAST,556430400.0
FATE,1380600000.0
FB,1337313600.0
FBNC,546753600.0
FBNK,1309406400.0
FBSS,945925200.0
FCAP,915426000.0
FCBC,765777600.0
FCCO,920955600.0
FCCY,921474000.0
FCEL,709444800.0
FCFS,676526400.0
FCHI,1214366400.0
FCNCA,530337600.0
FCSC,1256097600.0
FDEF,743140800.0
FDIV,1407988800.0
FDUS,1308628800.0
FEIM,1511154000.0
FELE,322117200.0
FEMB,1415163600.0
FEUZ,1414382400.0
FEYE,1379649600.0
FFBC,440830800.0
FFHL,1166504400.0
FFIC,816930000.0
FFIN,752130000.0
FFIV,928468800.0
FFKT,534142800.0
FFNM,1112587200.0
FFNW,1191988800.0
FIBK,1269403200.0
FINL,708062400.0
FISI,930283200.0
FISV,528004800.0
FITB,322117200.0
FITBI,1386306000.0
FIVE,1342670400.0
FIVN,1396584000.0
FIZZ,684734400.0
FLAT,1281412800.0
FLDM,1297314000.0
FLEX,763966800.0
FLIC,537426000.0
FLIR,740721600.0
FLKS,1422507600.0
FLL,745560000.0
FLML,-441831600.0
FLWS,933652800.0
FLXN,1392181200.0
FLXS,322117200.0
FMB,1400126400.0
FMBH,921560400.0
FMBI,418971600.0
FMI,1380081600.0
FMNB,915426000.0
FNFG,-441831600.0
FNGN,1268712000.0
FNHC,910242000.0
FNJN,1377144000.0
FNLC,931924800.0
FNRG,1280462400.0
FNSR,942382800.0
FOLD,1180584000.0
FONR,751694400.0
FORD,803188800.0
FORM,1055390400.0
FORR,849070800.0
FORTY,877320000.0
FOSL,734241600.0
FOX,516945600.0
FOXA,783838800.0
FOXF,1375934400.0
FPRX,1379476800.0
FPXI,1415682000.0
FRAN,1311307200.0
FRBA,1287115200.0
FRBK,594968400.0
FRED,700981200.0
FRGI,1335412800.0
FRME,614318400.0
FRPH,520660800.0
FRPT,1415336400.0
FRSH,1399003200.0
FSAM,1414641600.0
FSBK,860472000.0
FSBW,1341892800.0
FSC,1213243200.0
FSCFL,1365134400.0
FSFG,1512709200.0
FSTR,360907200.0
FSYS,-441831600.0
FTCS,1152590400.0
FTD,1381377600.0
FTEK,747374400.0
FTGC,1382500800.0
FTHI,1389070800.0
FTLB,1389070800.0
FTNT,1258520400.0
FTR,322117200.0
FTSL,1367467200.0
FTSM,1199163600.0
FUEL,-441831600.0
FULLL,1372392000.0
FULT,494568000.0
FUNC,1512709200.0
FUND,581745600.0
FV,1394082000.0
FWP,1413345600.0
FWRD,753426000.0
GABC,737956800.0
GAINO,1415682000.0
GALE,1205294400.0
GALT,1031544000.0
GARS,1364356800.0
